station_origin,Abbey Road,Acton Central,Acton Town,Aldgate,Aldgate East,All Saints,Alperton,Amersham,Anerley,Angel,Archway,Arnos Grove,Arsenal,Baker Street,Balham,Bank and Monument,Barbican,Barking,Barkingside,Barons Court,Battersea Park,Bayswater,Beckton,Beckton Park,Becontree,Belsize Park,Bermondsey,Bethnal Green,Blackfriars,Blackhorse Road,Blackwall,Bond Street,Borough,Boston Manor,Bounds Green,Bow Church,Bow Road,Brent Cross,Brentwood,Brixton,Brockley,Bromley-by-Bow,Brondesbury,Brondesbury Park,Bruce Grove,Buckhurst Hill,Burnt Oak,Bush Hill Park,Bushey,Caledonian Road,Caledonian Road & Barnsbury,Cambridge Heath,Camden Road,Camden Town,Canada Water,Canary Wharf,Canning Town,Cannon Street,Canonbury,Canons Park,Carpenders Park,Chadwell Heath,Chalfont & Latimer,Chalk Farm,Chancery Lane,Charing Cross,Chesham,Cheshunt,Chigwell,Chingford,Chiswick Park,Chorleywood,Clapham Common,Clapham High Street,Clapham Junction,Clapham North,Clapham South,Clapton,Cockfosters,Colindale,Colliers Wood,Covent Garden,Crossharbour,Crouch Hill,Croxley,Crystal Palace,Custom House,Cutty Sark,Cyprus,Dagenham East,Dagenham Heathway,Dalston Junction,Dalston Kingsland,Debden,Denmark Hill,Deptford Bridge,Devons Road,Dollis Hill,Ealing Broadway,Ealing Common,Earl's Court,East Acton,East Finchley,East Ham,East India,East Putney,Eastcote,Edgware,Edgware Road,Edmonton Green,Elephant & Castle,Elm Park,Elverson Road,Embankment,Emerson Park,Enfield Town,Epping,Euston,Euston Square,Fairlop,Farringdon,Finchley Central,Finchley Road,Finchley Road & Frognal,Finsbury Park,Forest Gate,Forest Hill,Fulham Broadway,Gallions Reach,Gants Hill,Gidea Park,Gloucester Road,Golders Green,Goldhawk Road,Goodge Street,Goodmayes,Gospel Oak,Grange Hill,Great Portland Street,Green Park,Greenford,Greenwich,Gunnersbury,Hackney Central,Hackney Downs,Hackney Wick,Haggerston,Hainault,Hammersmith,Hampstead,Hampstead Heath,Hanger Lane,Harlesden,Harold Wood,Harringay Green Lanes,Harrow & Wealdstone,Harrow-on-the-Hill,Hatch End,Hatton Cross,Headstone Lane,Heathrow Terminal 4,Heathrow Terminal 5,Heathrow Terminals 2 & 3,Hendon Central,Heron Quays,High Barnet,High Street Kensington,Highams Park,Highbury & Islington,Highgate,Hillingdon,Holborn,Holland Park,Holloway Road,Homerton,Honor Oak Park,Hornchurch,Hounslow Central,Hounslow East,Hounslow West,Hoxton,Hyde Park Corner,Ickenham,Ilford,Imperial Wharf,Island Gardens,Kennington,Kensal Green,Kensal Rise,Kensington,Kentish Town,Kentish Town West,Kenton,Kew Gardens,Kilburn,Kilburn High Road,Kilburn Park,King George V,King's Cross St. Pancras,Kingsbury,Knightsbridge,Ladbroke Grove,Lambeth North,Lancaster Gate,Langdon Park,Latimer Road,Leicester Square,Lewisham,Leyton,Leyton Midland Road,Leytonstone,Leytonstone High Road,Limehouse,Liverpool Street,London Bridge,London City Airport,London Fields,Loughton,Maida Vale,Manor House,Manor Park,Mansion House,Marble Arch,Maryland,Marylebone,Mile End,Mill Hill East,Moor Park,Moorgate,Morden,Mornington Crescent,Mudchute,Neasden,New Cross,New Cross Gate,Newbury Park,North Acton,North Ealing,North Greenwich,North Harrow,North Wembley,Northfields,Northolt,Northwick Park,Northwood,Northwood Hills,Norwood Junction,Notting Hill Gate,Oakwood,Old Street,Osterley,Oval,Oxford Circus,Paddington,Park Royal,Parsons Green,Peckham Rye,Penge West,Perivale,Piccadilly Circus,Pimlico,Pinner,Plaistow,Pontoon Dock,Poplar,Preston Road,Prince Regent,Pudding Mill Lane,Putney Bridge,Queen's Park,Queens Road Peckham,Queensbury,Queensway,Ravenscourt Park,Rayners Lane,Rectory Road,Redbridge,Regent's Park,Richmond,Rickmansworth,Roding Valley,Romford,Rotherhithe,Royal Albert,Royal Oak,Royal Victoria,Ruislip,Ruislip Gardens,Ruislip Manor,Russell Square,Seven Kings,Seven Sisters,Shadwell,Shenfield,Shepherd's Bush,Shepherd's Bush Market,Shoreditch High Street,Silver Street,Sloane Square,Snaresbrook,South Acton,South Ealing,South Hampstead,South Harrow,South Kensington,South Kenton,South Quay,South Ruislip,South Tottenham,South Wimbledon,South Woodford,Southbury,Southfields,Southgate,Southwark,St James Street,St. James's Park,St. John's Wood,St. Paul's,Stamford Brook,Stamford Hill,Stanmore,Star Lane,Stepney Green,Stockwell,Stoke Newington,Stonebridge Park,Stratford,Stratford High Street,Stratford International,Sudbury Hill,Sudbury Town,Surrey Quays,Swiss Cottage,Sydenham,Temple,Theobalds Grove,Theydon Bois,Tooting Bec,Tooting Broadway,Tottenham Court Road,Tottenham Hale,Totteridge & Whetstone,Tower Gateway,Tower Hill,Tufnell Park,Turkey Street,Turnham Green,Turnpike Lane,Upminster,Upminster Bridge,Upney,Upper Holloway,Upton Park,Uxbridge,Vauxhall,Victoria,Walthamstow Central,Walthamstow Queens Road,Wandsworth Road,Wanstead,Wanstead Park,Wapping,Warren Street,Warwick Avenue,Waterloo,Watford,Watford High Street,Watford Junction,Wembley Central,Wembley Park,West Acton,West Brompton,West Croydon,West Finchley,West Ham,West Hampstead,West Harrow,West India Quay,West Kensington,West Ruislip,West Silvertown,Westbourne Park,Westferry,Westminster,White City,White Hart Lane,Whitechapel,Willesden Green,Willesden Junction,Wimbledon,Wimbledon Park,Wood Green,Wood Lane,Wood Street,Woodford,Woodgrange Park,Woodside Park,Woolwich Arsenal,All
Southbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,0,2,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,548
Southfields,0,0,15,1,41,0,3,0,0,12,1,0,1,17,0,134,7,2,0,17,0,13,0,0,0,1,5,3,122,2,0,36,1,2,1,0,1,1,0,3,0,1,0,0,0,0,0,0,0,7,0,0,0,6,3,79,5,68,0,0,0,0,0,3,21,2,0,0,0,0,12,0,0,0,0,0,0,0,0,2,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,105,2,1,1,0,155,1,0,72,0,6,0,0,74,0,0,0,27,6,0,18,5,3,0,7,0,0,167,0,0,0,44,0,0,13,0,0,0,14,89,3,0,28,0,0,0,0,0,135,2,0,6,2,0,0,0,2,0,4,0,3,4,8,1,0,0,73,0,8,1,0,63,5,3,0,0,0,1,1,0,0,19,0,0,0,0,1,0,0,0,2,0,1,6,0,0,2,0,81,0,35,4,1,0,0,2,26,0,0,0,1,0,0,44,46,0,0,0,3,2,0,171,16,0,2,3,0,0,15,0,6,0,0,0,0,0,13,1,9,0,1,4,0,1,0,0,0,50,0,31,1,0,93,117,14,158,0,0,3,87,8,0,0,0,0,0,0,0,96,2,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,26,0,4,0,0,3,0,0,0,81,0,0,7,0,0,131,1,0,0,0,0,0,0,0,0,13,0,117,7,6,5,0,0,0,5,2,0,0,20,0,0,0,2,0,4,0,82,0,0,0,0,30,4,0,0,58,0,0,23,0,0,0,0,0,2,5,3,19,1,0,0,0,0,0,34,2,3,0,0,0,0,3,0,197,0,0,0,2,0,0,7,1,0,2,0,53,23,0,24,0,0,1088,51,1,6,0,0,0,0,0,5219
Southgate,0,0,7,41,8,0,0,0,0,26,1,58,7,39,1,109,26,1,0,10,0,0,0,0,0,15,2,2,1,10,0,29,5,1,47,0,1,0,0,12,0,1,0,0,0,0,0,0,0,39,0,0,0,15,1,53,6,1,0,0,0,0,0,4,29,5,0,0,0,0,3,0,4,0,0,1,4,0,25,1,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,23,2,0,0,0,1,0,0,21,0,14,0,0,8,0,0,0,45,8,0,93,0,3,0,114,0,0,5,0,0,0,19,3,1,4,0,0,0,19,80,0,0,5,0,0,0,0,0,35,9,0,1,0,0,0,0,5,0,2,0,0,4,6,1,0,0,13,0,221,0,0,166,9,34,0,0,0,1,2,0,0,12,0,0,0,0,3,1,0,0,4,0,0,1,0,0,4,0,197,1,35,7,11,4,0,1,63,0,0,0,1,0,0,61,48,0,0,0,4,53,0,0,20,0,10,7,0,0,33,2,4,0,0,0,0,0,4,1,8,0,0,2,1,3,0,0,0,9,73,14,4,3,121,32,1,5,0,0,1,71,21,0,0,0,0,1,0,0,7,1,0,0,7,2,1,0,0,2,5,0,0,0,0,0,2,0,0,0,0,89,0,8,0,0,8,1,0,0,11,0,0,2,0,0,51,0,0,0,0,3,0,0,2,0,17,0,18,8,72,1,0,2,0,1,1,0,0,27,0,0,0,0,0,5,0,0,0,0,0,7,18,18,0,0,8,0,0,1,39,0,0,0,0,0,2,51,165,15,0,0,0,0,0,88,2,38,0,0,0,1,10,0,8,0,0,0,2,0,0,2,0,0,4,0,22,21,0,5,0,2,17,0,111,2,0,0,0,0,0,3660
Southwark,0,0,1,0,1,0,0,0,0,6,0,0,0,157,0,25,1,2,0,12,0,0,0,0,0,0,50,1,0,0,0,437,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,2,0,0,0,6,121,1429,124,0,0,0,0,0,0,0,4,8,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,15,3,9,2,3,3,0,0,1,0,22,0,1,1,0,3,0,0,0,27,0,0,2,3,22,0,7,0,0,9,0,0,0,12,0,0,12,0,0,0,4,328,9,0,5,0,0,0,0,2,49,1,0,8,3,0,0,0,16,0,3,0,3,8,18,1,0,0,13,0,9,1,0,10,16,2,0,0,0,2,1,1,0,14,0,0,0,0,3,0,0,0,4,0,0,0,17,0,1,0,34,1,34,11,1,5,0,3,9,0,9,0,4,0,0,5,214,0,0,0,4,3,0,1,18,0,15,1,0,0,36,0,1,0,12,0,0,0,12,0,76,0,0,1,0,6,2,0,0,21,0,27,1,1,28,81,4,5,0,0,4,12,14,0,3,0,0,6,0,0,2,4,0,4,8,4,1,0,0,5,0,1,0,0,0,0,5,0,0,0,0,3,0,13,0,0,29,0,0,0,43,0,0,1,0,0,44,0,0,0,0,1,1,0,2,0,0,0,41,57,2,2,0,3,0,1,0,0,1,159,0,0,0,0,0,38,0,21,0,0,1,2,24,4,0,0,6,0,0,2,3,0,0,0,0,3,7,5,70,9,0,0,1,0,0,24,5,68,1,0,0,0,29,1,4,0,0,37,31,0,0,8,0,0,9,0,119,51,0,0,9,3,0,0,5,1,0,0,0,0,0,4882
St James Street,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,1048
St. James's Park,0,0,3,12,40,0,0,0,0,2,1,0,0,10,0,150,4,7,0,9,0,4,0,0,0,2,1,0,145,1,0,11,0,1,0,0,2,0,0,6,0,2,0,0,0,0,0,0,0,1,0,0,0,5,5,98,10,85,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,11,1,1,4,0,5,0,0,4,0,6,0,0,33,0,0,0,15,0,0,9,3,1,0,3,0,0,11,0,0,0,14,0,0,7,0,0,0,0,5,0,0,9,0,0,0,0,0,37,0,0,0,0,0,0,0,1,0,1,0,1,2,7,0,0,1,21,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,1,0,0,0,21,0,2,1,0,0,0,0,3,0,1,0,0,0,0,62,28,0,0,0,0,0,0,196,0,0,3,3,0,1,31,1,3,0,0,0,0,0,2,2,11,0,0,3,0,1,0,0,0,14,0,10,0,0,11,37,1,10,0,0,0,4,0,0,2,0,0,0,0,0,9,1,0,0,0,8,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,3,0,0,0,43,0,0,1,0,0,42,0,0,0,0,0,0,0,0,0,13,0,0,7,0,4,0,0,0,8,2,0,0,16,0,0,0,0,0,3,0,100,0,0,0,1,13,1,0,0,69,0,0,5,0,0,0,1,0,5,0,6,17,3,0,0,0,0,0,6,0,12,0,0,0,1,2,0,10,0,0,4,2,0,0,6,0,0,0,0,7,2,0,17,1,0,14,0,1,0,0,0,0,0,0,1809
St. John's Wood,0,0,3,29,7,0,0,0,0,6,1,0,0,49,0,127,29,0,0,4,0,0,0,0,2,0,7,6,48,3,0,156,1,1,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,386,33,16,0,10,0,0,1,0,64,22,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,6,2,0,1,0,0,0,0,1,0,7,0,0,10,0,0,0,2,35,0,62,0,33,0,5,0,0,4,0,0,0,8,0,0,0,0,0,0,16,135,0,0,8,0,0,0,0,0,23,0,0,2,0,0,0,0,9,0,1,0,0,1,2,0,0,0,7,0,9,0,0,74,2,1,0,0,0,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,40,11,15,2,2,1,0,1,6,0,1,0,2,0,0,135,189,0,0,0,1,2,0,31,4,0,4,5,0,2,77,0,0,0,3,0,0,1,2,0,14,0,0,3,2,10,2,3,0,7,0,15,0,2,36,19,0,2,0,0,0,31,8,2,0,0,0,2,0,0,1,1,0,2,5,3,1,0,0,18,1,0,0,0,0,0,1,0,2,0,0,6,0,8,0,0,12,0,0,0,13,0,0,0,0,0,25,0,0,0,0,1,0,0,1,0,86,0,17,0,113,0,0,17,0,1,0,0,0,27,0,0,1,0,0,25,0,22,0,0,1,1,36,6,0,0,16,0,0,1,1,0,0,0,0,1,17,62,100,3,0,0,0,0,0,2,0,104,2,0,0,0,54,0,2,0,0,6,44,0,0,0,0,0,1,0,101,4,0,2,8,1,0,0,1,1,0,0,0,0,0,3240
St. Paul's,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,40,0,4,1,0,0,0,0,0,1,0,0,20,0,1,0,75,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,5,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,9,0,0,4,0,7,0,0,1,0,0,0,2,1,0,0,0,0,3,4,0,0,0,1,0,0,2,0,0,0,0,4,0,1,0,0,1,0,0,0,0,15,2,0,0,0,0,0,0,4,3,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,2,0,46,5,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,4,0,0,11,0,0,3,0,11,0,8,0,0,56,2,0,0,1,0,1,0,0,35,0,4,11,0,0,0,0,1,0,0,0,0,3,9,0,1,0,0,0,3,0,0,0,0,15,0,2,0,0,78,6,0,0,0,0,2,14,1,0,6,0,0,0,0,0,1,2,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,16,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,2,0,0,0,0,0,0,70,0,0,0,1,0,0,0,2,0,0,0,0,5,0,3,10,4,0,0,2,0,0,4,0,5,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,1,21,0,1,0,1,0,0,2,0,0,3,0,0,0,878
Stamford Brook,0,0,7,1,23,0,2,0,0,5,0,0,0,0,2,52,1,1,0,15,0,0,0,0,0,0,3,1,55,0,0,7,0,2,0,0,1,0,0,7,0,2,0,0,0,0,0,0,0,2,0,0,0,7,3,45,1,24,0,0,0,0,0,0,3,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,10,56,0,0,0,0,16,0,0,3,0,4,0,0,33,0,0,0,7,0,0,0,1,0,0,5,0,0,21,0,0,0,36,0,0,3,0,0,0,0,45,0,0,24,0,0,0,0,0,96,0,0,0,0,0,0,0,2,0,9,0,2,3,10,0,0,0,12,0,3,1,0,37,0,2,0,0,0,2,1,0,0,8,0,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,36,0,21,3,0,0,0,1,16,0,0,0,0,0,0,7,33,0,0,0,0,2,0,62,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,2,4,0,0,4,0,0,0,0,0,1,0,15,0,1,23,13,12,24,0,0,0,48,4,0,1,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,156,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,39,0,0,2,0,1,79,0,0,0,0,0,1,0,6,0,14,0,71,2,0,0,0,0,0,1,1,0,0,2,0,0,2,2,0,0,0,41,0,0,0,4,4,1,0,0,28,0,0,3,0,0,0,0,0,0,7,23,33,0,0,0,0,0,0,8,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,16,0,0,1,0,33,0,0,15,0,0,26,1,1,0,0,0,0,0,0,1837
Stamford Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,491
Stanmore,0,0,0,35,2,0,0,2,0,2,0,0,0,96,1,33,24,0,0,3,0,0,0,0,0,0,6,3,12,1,0,116,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,17,208,21,4,0,16,0,0,0,0,29,14,0,0,0,0,0,11,1,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,1,5,2,0,1,0,1,1,0,16,0,5,0,0,10,0,0,0,0,28,0,70,0,33,0,3,0,0,3,0,0,0,2,0,1,0,0,0,0,48,77,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,9,0,7,0,0,27,3,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,29,160,20,6,2,1,0,1,5,0,0,0,0,0,0,73,98,0,0,0,1,1,0,11,8,0,5,3,0,5,49,1,0,0,17,0,0,0,0,0,17,0,0,0,0,12,4,1,0,5,0,7,0,1,38,36,1,1,0,0,0,22,5,0,0,0,0,6,0,0,5,1,0,24,6,0,3,0,0,3,0,1,0,0,0,0,0,0,1,0,1,3,0,6,0,0,3,1,0,0,13,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,71,0,24,46,34,1,0,0,0,1,1,0,0,32,0,0,0,0,0,15,0,5,0,0,0,3,17,0,0,0,8,0,0,1,1,0,0,0,0,0,13,21,70,1,0,0,0,0,0,1,0,61,1,0,0,0,104,0,0,0,0,2,86,0,0,0,0,0,3,0,96,7,0,1,20,0,0,0,1,4,0,0,0,0,0,2641
Star Lane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,11,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,438
Stepney Green,0,0,3,0,99,0,0,0,0,16,5,0,1,32,2,103,56,38,0,6,0,0,0,0,1,1,3,1,109,0,0,20,7,1,0,0,17,0,0,5,0,33,0,0,0,1,0,0,0,2,0,0,0,11,0,10,20,54,0,0,0,0,0,4,10,1,0,0,0,0,5,0,2,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,7,13,0,0,2,0,0,0,0,7,0,8,2,0,47,0,5,0,0,14,0,12,2,0,84,0,0,2,9,54,1,115,0,3,0,1,0,0,11,0,3,0,10,0,0,9,0,0,0,35,17,0,0,14,0,0,0,0,1,30,2,0,0,0,0,0,0,1,0,0,0,1,1,3,3,0,0,7,0,0,1,0,20,1,3,0,0,4,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,3,1,0,0,0,80,0,4,5,3,2,0,3,7,0,13,0,22,0,0,54,16,0,0,1,0,1,0,49,6,0,2,8,0,0,55,0,4,0,0,0,0,6,3,0,16,0,0,2,1,0,0,0,0,4,0,12,0,4,32,33,0,5,0,0,0,19,3,0,26,0,0,0,0,0,9,0,0,0,3,5,0,0,1,0,6,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,4,1,0,0,32,2,0,0,0,0,42,0,0,0,0,1,2,0,0,1,2,0,73,2,6,1,0,0,0,0,3,0,0,133,0,0,0,0,0,2,0,72,0,0,0,5,31,0,1,0,51,1,0,8,0,1,0,4,0,30,3,9,20,0,0,0,0,0,0,2,0,21,0,0,0,0,1,0,5,0,0,43,2,0,0,7,0,0,6,0,53,4,0,233,1,0,10,1,2,5,0,2,0,0,0,2731
